SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,,change
CREATIVE, BE, 01-Oct-2021,227.05,225,234,225,234,231.3,228.71,13245,30.29,127, -, -,,4.25
CREDITACC, EQ, 01-Oct-2021,636.45,635,644.9,629.7,640,637.65,637.53,37821,241.12,2248,13314,35.2,,1.2
CREST, BE, 01-Oct-2021,122,121,122.9,120,120.5,120.05,120.54,8209,9.89,53, -, -,,-1.95
CRISIL, EQ, 01-Oct-2021,2718.3,2703.25,2790.15,2702.25,2755,2753.1,2747.67,36550,1004.27,5331,18244,49.92,,34.8
CROMPTON, EQ, 01-Oct-2021,478.9,477.4,503,476.15,489,488.8,489.04,2518392,12316,73932,1153989,45.82,,9.9
CROWN, SM, 01-Oct-2021,123.85,130,130,130,130,130,130,12000,15.6,12,12000,100,,6.15
CSBBANK, EQ, 01-Oct-2021,316.8,321.9,324.2,308.4,310,310.7,318.07,446730,1420.92,19342,223778,50.09,,-6.1
CTE, EQ, 01-Oct-2021,60.3,60.5,61.95,57.3,58.55,58.35,59.21,65326,38.68,746,28830,44.13,,-1.95
CUB, EQ, 01-Oct-2021,157.65,157.5,160.05,155.7,158.8,158.65,158.52,2216227,3513.13,18138,703017,31.72,,1
CUBEXTUB, EQ, 01-Oct-2021,22.05,23.1,23.15,21.35,23.15,23.15,22.92,21615,4.95,217,15059,69.67,,1.1
CUMMINSIND, EQ, 01-Oct-2021,991.95,987.8,987.8,878.15,915,918.1,915.21,9096073,83247.74,238743,3652591,40.16,,-73.85
CUPID, EQ, 01-Oct-2021,229.85,228.5,236.75,226.15,232.4,232.45,232.65,76825,178.73,2622,38420,50.01,,2.6
CYBERMEDIA, BE, 01-Oct-2021,10.05,10.45,10.45,9.55,10.2,10.2,10.03,11926,1.2,48, -, -,,0.15
CYBERTECH, EQ, 01-Oct-2021,160.25,160.25,165,160,162.9,161.8,162.89,92788,151.14,2425,55814,60.15,,1.55
